,Año,Periodo,Infect
0,2020,Día 31 (Enero),1
1,2020,Día 1 (Febrero),1
2,2020,Día 2 (Febrero),1
3,2020,Día 3 (Febrero),1
4,2020,Día 4 (Febrero),1
5,2020,Día 5 (Febrero),1
6,2020,Día 6 (Febrero),1
7,2020,Día 7 (Febrero),1
8,2020,Día 8 (Febrero),1
9,2020,Día 9 (Febrero),2
10,2020,Día 10 (Febrero),2
11,2020,Día 11 (Febrero),2
12,2020,Día 12 (Febrero),2
13,2020,Día 13 (Febrero),1
14,2020,Día 14 (Febrero),-1
15,2020,Día 15 (Febrero),-1
16,2020,Día 16 (Febrero),-1
17,2020,Día 17 (Febrero),-1
18,2020,Día 18 (Febrero),-1
19,2020,Día 19 (Febrero),-1
20,2020,Día 20 (Febrero),-1
21,2020,Día 21 (Febrero),-1
22,2020,Día 22 (Febrero),-1
23,2020,Día 23 (Febrero),-1
24,2020,Día 24 (Febrero),-1
25,2020,Día 25 (Febrero),2
26,2020,Día 26 (Febrero),7
27,2020,Día 27 (Febrero),14
28,2020,Día 28 (Febrero),30
29,2020,Día 29 (Febrero),47
30,2020,Día 1 (Marzo),70
31,2020,Día 2 (Marzo),115
32,2020,Día 3 (Marzo),146
33,2020,Día 4 (Marzo),194
34,2020,Día 5 (Marzo),224
35,2020,Día 6 (Marzo),350
36,2020,Día 7 (Marzo),392
37,2020,Día 8 (Marzo),542
38,2020,Día 9 (Marzo),940
39,2020,Día 10 (Marzo),1451
40,2020,Día 11 (Marzo),1814
41,2020,Día 12 (Marzo),2695
42,2020,Día 13 (Marzo),3895
43,2020,Día 14 (Marzo),5043
44,2020,Día 15 (Marzo),6944
45,2020,Día 16 (Marzo),8312
46,2020,Día 17 (Marzo),9659
47,2020,Día 18 (Marzo),12037
48,2020,Día 19 (Marzo),15273
49,2020,Día 20 (Marzo),17393
50,2020,Día 21 (Marzo),21475
51,2020,Día 22 (Marzo),24277
52,2020,Día 23 (Marzo),27552
53,2020,Día 24 (Marzo),33183
54,2020,Día 25 (Marzo),38809
55,2020,Día 26 (Marzo),45084
56,2020,Día 27 (Marzo),49844
57,2020,Día 28 (Marzo),54273
58,2020,Día 29 (Marzo),57560
59,2020,Día 30 (Marzo),61075
60,2020,Día 31 (Marzo),66969
61,2020,Día 1 (Abril),70436
62,2020,Día 2 (Abril),73492
63,2020,Día 3 (Abril),76065
