"Año","Periodo","Infect"
"2020","Día 31 (Enero)","1"
"2020","Día 1 (Febrero)","1"
"2020","Día 2 (Febrero)","1"
"2020","Día 3 (Febrero)","1"
"2020","Día 4 (Febrero)","1"
"2020","Día 5 (Febrero)","1"
"2020","Día 6 (Febrero)","1"
"2020","Día 7 (Febrero)","1"
"2020","Día 8 (Febrero)","1"
"2020","Día 9 (Febrero)","2"
"2020","Día 10 (Febrero)","2"
"2020","Día 11 (Febrero)","2"
"2020","Día 12 (Febrero)","2"
"2020","Día 13 (Febrero)","2"
"2020","Día 14 (Febrero)","2"
"2020","Día 15 (Febrero)","2"
"2020","Día 16 (Febrero)","2"
"2020","Día 17 (Febrero)","2"
"2020","Día 18 (Febrero)","2"
"2020","Día 19 (Febrero)","2"
"2020","Día 20 (Febrero)","2"
"2020","Día 21 (Febrero)","2"
"2020","Día 22 (Febrero)","2"
"2020","Día 23 (Febrero)","2"
"2020","Día 24 (Febrero)","2"
"2020","Día 25 (Febrero)","5"
"2020","Día 26 (Febrero)","10"
"2020","Día 27 (Febrero)","17"
"2020","Día 28 (Febrero)","33"
"2020","Día 29 (Febrero)","50"
"2020","Día 1 (Marzo)","73"
"2020","Día 2 (Marzo)","119"
"2020","Día 3 (Marzo)","150"
"2020","Día 4 (Marzo)","198"
"2020","Día 5 (Marzo)","237"
"2020","Día 6 (Marzo)","365"
"2020","Día 7 (Marzo)","430"
"2020","Día 8 (Marzo)","589"
"2020","Día 9 (Marzo)","999"
"2020","Día 10 (Marzo)","1622"
"2020","Día 11 (Marzo)","2002"
"2020","Día 12 (Marzo)","2968"
"2020","Día 13 (Marzo)","4209"
"2020","Día 14 (Marzo)","5753"
"2020","Día 15 (Marzo)","7753"
"2020","Día 16 (Marzo)","9151"
"2020","Día 17 (Marzo)","11178"
"2020","Día 18 (Marzo)","13716"
"2020","Día 19 (Marzo)","17147"
"2020","Día 20 (Marzo)","19980"
"2020","Día 21 (Marzo)","24926"
"2020","Día 22 (Marzo)","28572"
"2020","Día 23 (Marzo)","33089"
"2020","Día 24 (Marzo)","39673"
"2020","Día 25 (Marzo)","47610"
"2020","Día 26 (Marzo)","56188"
"2020","Día 27 (Marzo)","64059"
"2020","Día 28 (Marzo)","72248"
"2020","Día 29 (Marzo)","78797"
"2020","Día 30 (Marzo)","85195"
"2020","Día 31 (Marzo)","94417"
"2020","Día 1 (Abril)","102136"
"2020","Día 2 (Abril)","110238"
"2020","Día 3 (Abril)","117710"
